timestamp,bin_id,fill_level,day_of_week,hour
2026-01-12 02:26:06.024212,BCN-CT-001,20.07,0,2
2026-01-12 03:26:06.024212,BCN-CT-001,20.03,0,3
2026-01-12 04:26:06.024212,BCN-CT-001,20.28,0,4
2026-01-12 05:26:06.024212,BCN-CT-001,20.35,0,5
2026-01-12 06:26:06.024212,BCN-CT-001,21.51,0,6
2026-01-12 07:26:06.024212,BCN-CT-001,20.73,0,7
2026-01-12 08:26:06.024212,BCN-CT-001,23.18,0,8
2026-01-12 09:26:06.024212,BCN-CT-001,24.18,0,9
2026-01-12 10:26:06.024212,BCN-CT-001,26.39,0,10
2026-01-12 11:26:06.024212,BCN-CT-001,27.6,0,11
2026-01-12 12:26:06.024212,BCN-CT-001,27.93,0,12
2026-01-12 13:26:06.024212,BCN-CT-001,28.89,0,13
2026-01-12 14:26:06.024212,BCN-CT-001,29.89,0,14
2026-01-12 15:26:06.024212,BCN-CT-001,31.63,0,15
2026-01-12 16:26:06.024212,BCN-CT-001,33.32,0,16
2026-01-12 17:26:06.024212,BCN-CT-001,33.9,0,17
2026-01-12 18:26:06.024212,BCN-CT-001,35.22,0,18
2026-01-12 19:26:06.024212,BCN-CT-001,36.37,0,19
2026-01-12 20:26:06.024212,BCN-CT-001,37.16,0,20
2026-01-12 21:26:06.024212,BCN-CT-001,39.19,0,21
2026-01-12 22:26:06.024212,BCN-CT-001,40.69,0,22
2026-01-12 23:26:06.024212,BCN-CT-001,40.73,0,23
2026-01-13 00:26:06.024212,BCN-CT-001,41.77,1,0
2026-01-13 01:26:06.024212,BCN-CT-001,41.61,1,1
2026-01-13 02:26:06.024212,BCN-CT-001,40.64,1,2
2026-01-13 03:26:06.024212,BCN-CT-001,42.15,1,3
2026-01-13 04:26:06.024212,BCN-CT-001,42.32,1,4
2026-01-13 05:26:06.024212,BCN-CT-001,42.53,1,5
2026-01-13 06:26:06.024212,BCN-CT-001,2.62,1,6
2026-01-13 07:26:06.024212,BCN-CT-001,3.63,1,7
2026-01-13 08:26:06.024212,BCN-CT-001,4.41,1,8
2026-01-13 09:26:06.024212,BCN-CT-001,5.38,1,9
2026-01-13 10:26:06.024212,BCN-CT-001,7.6,1,10
2026-01-13 11:26:06.024212,BCN-CT-001,9.58,1,11
2026-01-13 12:26:06.024212,BCN-CT-001,10.53,1,12
2026-01-13 13:26:06.024212,BCN-CT-001,11.34,1,13
2026-01-13 14:26:06.024212,BCN-CT-001,12.06,1,14
2026-01-13 15:26:06.024212,BCN-CT-001,13.14,1,15
2026-01-13 16:26:06.024212,BCN-CT-001,13.39,1,16
2026-01-13 17:26:06.024212,BCN-CT-001,15.56,1,17
2026-01-13 18:26:06.024212,BCN-CT-001,18.66,1,18
2026-01-13 19:26:06.024212,BCN-CT-001,20.12,1,19
2026-01-13 20:26:06.024212,BCN-CT-001,20.9,1,20
2026-01-13 21:26:06.024212,BCN-CT-001,20.81,1,21
2026-01-13 22:26:06.024212,BCN-CT-001,23.83,1,22
2026-01-13 23:26:06.024212,BCN-CT-001,23.26,1,23
2026-01-14 00:26:06.024212,BCN-CT-001,23.6,2,0
2026-01-14 01:26:06.024212,BCN-CT-001,23.43,2,1
2026-01-14 02:26:06.024212,BCN-CT-001,24.12,2,2
2026-01-14 03:26:06.024212,BCN-CT-001,23.65,2,3
2026-01-14 04:26:06.024212,BCN-CT-001,23.4,2,4
2026-01-14 05:26:06.024212,BCN-CT-001,22.74,2,5
2026-01-14 06:26:06.024212,BCN-CT-001,25.22,2,6
2026-01-14 07:26:06.024212,BCN-CT-001,25.05,2,7
2026-01-14 08:26:06.024212,BCN-CT-001,26.57,2,8
2026-01-14 09:26:06.024212,BCN-CT-001,28.81,2,9
2026-01-14 10:26:06.024212,BCN-CT-001,28.95,2,10
2026-01-14 11:26:06.024212,BCN-CT-001,30.37,2,11
2026-01-14 12:26:06.024212,BCN-CT-001,33.05,2,12
2026-01-14 13:26:06.024212,BCN-CT-001,32.45,2,13
2026-01-14 14:26:06.024212,BCN-CT-001,34.47,2,14
2026-01-14 15:26:06.024212,BCN-CT-001,35.66,2,15
2026-01-14 16:26:06.024212,BCN-CT-001,36.14,2,16
2026-01-14 17:26:06.024212,BCN-CT-001,38.6,2,17
2026-01-14 18:26:06.024212,BCN-CT-001,39.51,2,18
2026-01-14 19:26:06.024212,BCN-CT-001,40.93,2,19
2026-01-14 20:26:06.024212,BCN-CT-001,41.66,2,20
2026-01-14 21:26:06.024212,BCN-CT-001,43.89,2,21
2026-01-14 22:26:06.024212,BCN-CT-001,44.43,2,22
2026-01-14 23:26:06.024212,BCN-CT-001,43.3,2,23
2026-01-15 00:26:06.024212,BCN-CT-001,45.05,3,0
2026-01-15 01:26:06.024212,BCN-CT-001,44.92,3,1
2026-01-15 02:26:06.024212,BCN-CT-001,44.6,3,2
2026-01-15 03:26:06.024212,BCN-CT-001,44.72,3,3
2026-01-15 04:26:06.024212,BCN-CT-001,45.05,3,4
2026-01-15 05:26:06.024212,BCN-CT-001,45.01,3,5
2026-01-15 06:26:06.024212,BCN-CT-001,45.42,3,6
2026-01-15 07:26:06.024212,BCN-CT-001,45.24,3,7
2026-01-15 08:26:06.024212,BCN-CT-001,47.64,3,8
2026-01-15 09:26:06.024212,BCN-CT-001,49.33,3,9
2026-01-15 10:26:06.024212,BCN-CT-001,50.72,3,10
2026-01-15 11:26:06.024212,BCN-CT-001,50.5,3,11
2026-01-15 12:26:06.024212,BCN-CT-001,52.01,3,12
2026-01-15 13:26:06.024212,BCN-CT-001,54.35,3,13
2026-01-15 14:26:06.024212,BCN-CT-001,54.27,3,14
2026-01-15 15:26:06.024212,BCN-CT-001,56.17,3,15
2026-01-15 16:26:06.024212,BCN-CT-001,57.13,3,16
2026-01-15 17:26:06.024212,BCN-CT-001,58.87,3,17
2026-01-15 18:26:06.024212,BCN-CT-001,59.88,3,18
2026-01-15 19:26:06.024212,BCN-CT-001,60.93,3,19
2026-01-15 20:26:06.024212,BCN-CT-001,62.69,3,20
2026-01-15 21:26:06.024212,BCN-CT-001,64.7,3,21
2026-01-15 22:26:06.024212,BCN-CT-001,67.5,3,22
2026-01-15 23:26:06.024212,BCN-CT-001,66.48,3,23
2026-01-16 00:26:06.024212,BCN-CT-001,67.04,4,0
2026-01-16 01:26:06.024212,BCN-CT-001,66.65,4,1
2026-01-16 02:26:06.024212,BCN-CT-001,67.77,4,2
2026-01-16 03:26:06.024212,BCN-CT-001,68.69,4,3
2026-01-16 04:26:06.024212,BCN-CT-001,69.06,4,4
2026-01-16 05:26:06.024212,BCN-CT-001,69.45,4,5
2026-01-16 06:26:06.024212,BCN-CT-001,0.47,4,6
2026-01-16 07:26:06.024212,BCN-CT-001,1.08,4,7
2026-01-16 08:26:06.024212,BCN-CT-001,2.76,4,8
2026-01-16 09:26:06.024212,BCN-CT-001,3.65,4,9
2026-01-16 10:26:06.024212,BCN-CT-001,5.67,4,10
2026-01-16 11:26:06.024212,BCN-CT-001,7.58,4,11
2026-01-16 12:26:06.024212,BCN-CT-001,9.55,4,12
2026-01-16 13:26:06.024212,BCN-CT-001,11.94,4,13
2026-01-16 14:26:06.024212,BCN-CT-001,13.07,4,14
2026-01-16 15:26:06.024212,BCN-CT-001,16.26,4,15
2026-01-16 16:26:06.024212,BCN-CT-001,17.73,4,16
2026-01-16 17:26:06.024212,BCN-CT-001,20.01,4,17
2026-01-16 18:26:06.024212,BCN-CT-001,22.04,4,18
2026-01-16 19:26:06.024212,BCN-CT-001,22.98,4,19
2026-01-16 20:26:06.024212,BCN-CT-001,25.41,4,20
2026-01-16 21:26:06.024212,BCN-CT-001,28.5,4,21
2026-01-16 22:26:06.024212,BCN-CT-001,29.56,4,22
2026-01-16 23:26:06.024212,BCN-CT-001,29.83,4,23
2026-01-17 00:26:06.024212,BCN-CT-001,30.3,5,0
2026-01-17 01:26:06.024212,BCN-CT-001,30.03,5,1
2026-01-17 02:26:06.024212,BCN-CT-001,31.13,5,2
2026-01-17 03:26:06.024212,BCN-CT-001,30.02,5,3
2026-01-17 04:26:06.024212,BCN-CT-001,31.46,5,4
2026-01-17 05:26:06.024212,BCN-CT-001,31.4,5,5
2026-01-17 06:26:06.024212,BCN-CT-001,30.69,5,6
2026-01-17 07:26:06.024212,BCN-CT-001,31.65,5,7
2026-01-17 08:26:06.024212,BCN-CT-001,34.08,5,8
2026-01-17 09:26:06.024212,BCN-CT-001,35.83,5,9
2026-01-17 10:26:06.024212,BCN-CT-001,38.86,5,10
2026-01-17 11:26:06.024212,BCN-CT-001,40.07,5,11
2026-01-17 12:26:06.024212,BCN-CT-001,41.36,5,12
2026-01-17 13:26:06.024212,BCN-CT-001,43.03,5,13
2026-01-17 14:26:06.024212,BCN-CT-001,45.37,5,14
2026-01-17 15:26:06.024212,BCN-CT-001,48.31,5,15
2026-01-17 16:26:06.024212,BCN-CT-001,48.47,5,16
2026-01-17 17:26:06.024212,BCN-CT-001,50.62,5,17
2026-01-17 18:26:06.024212,BCN-CT-001,51.36,5,18
2026-01-17 19:26:06.024212,BCN-CT-001,53.97,5,19
2026-01-17 20:26:06.024212,BCN-CT-001,56.29,5,20
2026-01-17 21:26:06.024212,BCN-CT-001,58.17,5,21
2026-01-17 22:26:06.024212,BCN-CT-001,58.98,5,22
2026-01-17 23:26:06.024212,BCN-CT-001,59.41,5,23
2026-01-18 00:26:06.024212,BCN-CT-001,59.59,6,0
2026-01-18 01:26:06.024212,BCN-CT-001,59.07,6,1
2026-01-18 02:26:06.024212,BCN-CT-001,59.91,6,2
2026-01-18 03:26:06.024212,BCN-CT-001,58.9,6,3
2026-01-18 04:26:06.024212,BCN-CT-001,60.04,6,4
2026-01-18 05:26:06.024212,BCN-CT-001,60.62,6,5
2026-01-18 06:26:06.024212,BCN-CT-001,61.51,6,6
2026-01-18 07:26:06.024212,BCN-CT-001,61.03,6,7
2026-01-18 08:26:06.024212,BCN-CT-001,63.48,6,8
2026-01-18 09:26:06.024212,BCN-CT-001,64.05,6,9
2026-01-18 10:26:06.024212,BCN-CT-001,67.34,6,10
2026-01-18 11:26:06.024212,BCN-CT-001,67.68,6,11
2026-01-18 12:26:06.024212,BCN-CT-001,69.64,6,12
2026-01-18 13:26:06.024212,BCN-CT-001,70.98,6,13
2026-01-18 14:26:06.024212,BCN-CT-001,73.79,6,14
2026-01-18 15:26:06.024212,BCN-CT-001,76.02,6,15
2026-01-18 16:26:06.024212,BCN-CT-001,79.21,6,16
2026-01-18 17:26:06.024212,BCN-CT-001,81.19,6,17
2026-01-18 18:26:06.024212,BCN-CT-001,83.65,6,18
2026-01-18 19:26:06.024212,BCN-CT-001,86.42,6,19
2026-01-18 20:26:06.024212,BCN-CT-001,89.09,6,20
2026-01-18 21:26:06.024212,BCN-CT-001,89.53,6,21
2026-01-18 22:26:06.024212,BCN-CT-001,3.72,6,22
2026-01-18 23:26:06.024212,BCN-CT-001,3.83,6,23
2026-01-19 00:26:06.024212,BCN-CT-001,4.05,0,0
2026-01-19 01:26:06.024212,BCN-CT-001,4.08,0,1
2026-01-19 02:26:06.024212,BCN-CT-001,4.18,0,2
2026-01-19 03:26:06.024212,BCN-CT-001,5.39,0,3
2026-01-19 04:26:06.024212,BCN-CT-001,5.24,0,4
2026-01-19 05:26:06.024212,BCN-CT-001,5.17,0,5
2026-01-19 06:26:06.024212,BCN-CT-001,4.35,0,6
2026-01-19 07:26:06.024212,BCN-CT-001,5.6,0,7
2026-01-19 08:26:06.024212,BCN-CT-001,6.37,0,8
2026-01-19 09:26:06.024212,BCN-CT-001,8.89,0,9
2026-01-19 10:26:06.024212,BCN-CT-001,8.8,0,10
2026-01-19 11:26:06.024212,BCN-CT-001,9.7,0,11
2026-01-19 12:26:06.024212,BCN-CT-001,10.74,0,12
2026-01-19 13:26:06.024212,BCN-CT-001,11.39,0,13
2026-01-19 14:26:06.024212,BCN-CT-001,13.57,0,14
2026-01-19 15:26:06.024212,BCN-CT-001,14.58,0,15
2026-01-19 16:26:06.024212,BCN-CT-001,16.66,0,16
2026-01-19 17:26:06.024212,BCN-CT-001,17.25,0,17
2026-01-19 18:26:06.024212,BCN-CT-001,19.91,0,18
2026-01-19 19:26:06.024212,BCN-CT-001,21.03,0,19
2026-01-19 20:26:06.024212,BCN-CT-001,22.0,0,20
2026-01-19 21:26:06.024212,BCN-CT-001,23.33,0,21
2026-01-19 22:26:06.024212,BCN-CT-001,25.19,0,22
2026-01-19 23:26:06.024212,BCN-CT-001,25.34,0,23
2026-01-20 00:26:06.024212,BCN-CT-001,24.67,1,0
2026-01-20 01:26:06.024212,BCN-CT-001,26.67,1,1
2026-01-20 02:26:06.024212,BCN-CT-001,26.07,1,2
2026-01-20 03:26:06.024212,BCN-CT-001,25.27,1,3
2026-01-20 04:26:06.024212,BCN-CT-001,25.99,1,4
2026-01-20 05:26:06.024212,BCN-CT-001,26.35,1,5
2026-01-20 06:26:06.024212,BCN-CT-001,5.31,1,6
2026-01-20 07:26:06.024212,BCN-CT-001,4.29,1,7
2026-01-20 08:26:06.024212,BCN-CT-001,6.21,1,8
2026-01-20 09:26:06.024212,BCN-CT-001,6.78,1,9
2026-01-20 10:26:06.024212,BCN-CT-001,7.53,1,10
2026-01-20 11:26:06.024212,BCN-CT-001,8.93,1,11
2026-01-20 12:26:06.024212,BCN-CT-001,9.56,1,12
2026-01-20 13:26:06.024212,BCN-CT-001,11.17,1,13
2026-01-20 14:26:06.024212,BCN-CT-001,11.93,1,14
2026-01-20 15:26:06.024212,BCN-CT-001,14.33,1,15
2026-01-20 16:26:06.024212,BCN-CT-001,15.76,1,16
2026-01-20 17:26:06.024212,BCN-CT-001,16.19,1,17
2026-01-20 18:26:06.024212,BCN-CT-001,17.75,1,18
2026-01-20 19:26:06.024212,BCN-CT-001,19.49,1,19
2026-01-20 20:26:06.024212,BCN-CT-001,20.61,1,20
2026-01-20 21:26:06.024212,BCN-CT-001,23.19,1,21
2026-01-20 22:26:06.024212,BCN-CT-001,23.58,1,22
2026-01-20 23:26:06.024212,BCN-CT-001,23.21,1,23
2026-01-21 00:26:06.024212,BCN-CT-001,23.25,2,0
2026-01-21 01:26:06.024212,BCN-CT-001,24.1,2,1
2026-01-21 02:26:06.024212,BCN-CT-001,24.86,2,2
2026-01-21 03:26:06.024212,BCN-CT-001,24.83,2,3
2026-01-21 04:26:06.024212,BCN-CT-001,24.96,2,4
2026-01-21 05:26:06.024212,BCN-CT-001,24.54,2,5
2026-01-21 06:26:06.024212,BCN-CT-001,24.68,2,6
2026-01-21 07:26:06.024212,BCN-CT-001,25.48,2,7
2026-01-21 08:26:06.024212,BCN-CT-001,26.0,2,8
2026-01-21 09:26:06.024212,BCN-CT-001,27.48,2,9
2026-01-21 10:26:06.024212,BCN-CT-001,28.2,2,10
2026-01-21 11:26:06.024212,BCN-CT-001,28.79,2,11
2026-01-21 12:26:06.024212,BCN-CT-001,29.5,2,12
2026-01-21 13:26:06.024212,BCN-CT-001,32.08,2,13
2026-01-21 14:26:06.024212,BCN-CT-001,32.62,2,14
2026-01-21 15:26:06.024212,BCN-CT-001,33.89,2,15
2026-01-21 16:26:06.024212,BCN-CT-001,36.54,2,16
2026-01-21 17:26:06.024212,BCN-CT-001,36.81,2,17
